seed,model,split,subject,accuracy,f1
0,EEGNet,within,1,0.51875,0.11494252873563218
0,EEGNet,within,2,0.4875,0.32786885245901637
0,EEGNet,within,3,0.4875,0.36923076923076925
0,EEGNet,within,4,0.725,0.6206896551724138
0,EEGNet,within,5,0.425,0.5053763440860215
0,EEGNet,within,6,0.48125,0.3140495867768595
0,EEGNet,within,7,0.55625,0.297029702970297
0,EEGNet,within,8,0.6625,0.55
0,EEGNet,within,9,0.5375,0.6185567010309279
0,EEGNet,cross,1,0.68125,0.7272727272727273
0,EEGNet,cross,2,0.6,0.5151515151515151
0,EEGNet,cross,3,0.51875,0.4122137404580153
0,EEGNet,cross,4,0.93125,0.9261744966442953
0,EEGNet,cross,5,0.78125,0.8108108108108109
0,EEGNet,cross,6,0.75,0.7297297297297297
0,EEGNet,cross,7,0.875,0.868421052631579
0,EEGNet,cross,8,0.825,0.8494623655913979
0,EEGNet,cross,9,0.84375,0.8554913294797688
0,ShallowConvNet,within,1,0.69375,0.7262569832402235
0,ShallowConvNet,within,2,0.49375,0.39097744360902253
0,ShallowConvNet,within,3,0.5,0.5789473684210527
0,ShallowConvNet,within,4,0.9875,0.9875
0,ShallowConvNet,within,5,0.83125,0.8322981366459627
0,ShallowConvNet,within,6,0.66875,0.736318407960199
0,ShallowConvNet,within,7,0.7,0.6307692307692307
0,ShallowConvNet,within,8,0.79375,0.8092485549132948
0,ShallowConvNet,within,9,0.80625,0.8287292817679558
0,ShallowConvNet,cross,1,0.66875,0.6936416184971098
0,ShallowConvNet,cross,2,0.53125,0.5945945945945946
0,ShallowConvNet,cross,3,0.49375,0.5970149253731343
0,ShallowConvNet,cross,4,0.9625,0.961038961038961
0,ShallowConvNet,cross,5,0.76875,0.7978142076502732
0,ShallowConvNet,cross,6,0.5875,0.3888888888888889
0,ShallowConvNet,cross,7,0.775,0.7534246575342466
0,ShallowConvNet,cross,8,0.81875,0.8449197860962567
0,ShallowConvNet,cross,9,0.8,0.7974683544303798
