seed,model,type,bin_centre,accuracy,confidence,fraction,threshold,coverage,error_rate
0,EEGNet,calibration,0.55,0.5102207686017989,0.5400021076202393,0.8493055555555555,,,
0,EEGNet,calibration,0.6500000000000001,0.6923076923076923,0.6308246850967407,0.13541666666666666,,,
0,EEGNet,calibration,0.75,1.0,0.7209833860397339,0.015277777777777777,,,
0,EEGNet,risk_coverage,,,,,0.5,1.0,0.45763888888888893
0,EEGNet,risk_coverage,,,,,0.5102040816326531,0.875,0.44999999999999996
0,EEGNet,risk_coverage,,,,,0.5204081632653061,0.7465277777777778,0.4427906976744186
0,EEGNet,risk_coverage,,,,,0.5306122448979592,0.6368055555555555,0.4274809160305344
0,EEGNet,risk_coverage,,,,,0.5408163265306123,0.5256944444444445,0.3976221928665786
0,EEGNet,risk_coverage,,,,,0.5510204081632653,0.43333333333333335,0.3862179487179487
0,EEGNet,risk_coverage,,,,,0.5612244897959183,0.35347222222222224,0.3713163064833006
0,EEGNet,risk_coverage,,,,,0.5714285714285714,0.28194444444444444,0.3448275862068966
0,EEGNet,risk_coverage,,,,,0.5816326530612245,0.23194444444444445,0.3143712574850299
0,EEGNet,risk_coverage,,,,,0.5918367346938775,0.18055555555555555,0.2961538461538461
0,EEGNet,risk_coverage,,,,,0.6020408163265306,0.14583333333333334,0.27142857142857146
0,EEGNet,risk_coverage,,,,,0.6122448979591837,0.1076388888888889,0.2129032258064516
0,EEGNet,risk_coverage,,,,,0.6224489795918368,0.08055555555555556,0.18965517241379315
0,EEGNet,risk_coverage,,,,,0.6326530612244898,0.06736111111111111,0.12371134020618557
0,EEGNet,risk_coverage,,,,,0.6428571428571428,0.05625,0.0864197530864198
0,EEGNet,risk_coverage,,,,,0.6530612244897959,0.04236111111111111,0.032786885245901676
0,EEGNet,risk_coverage,,,,,0.6632653061224489,0.03819444444444445,0.036363636363636376
0,EEGNet,risk_coverage,,,,,0.673469387755102,0.029861111111111113,0.023255813953488413
0,EEGNet,risk_coverage,,,,,0.6836734693877551,0.02361111111111111,0.0
0,EEGNet,risk_coverage,,,,,0.6938775510204082,0.01597222222222222,0.0
0,EEGNet,risk_coverage,,,,,0.7040816326530612,0.013888888888888888,0.0
0,EEGNet,risk_coverage,,,,,0.7142857142857143,0.008333333333333333,0.0
0,EEGNet,risk_coverage,,,,,0.7244897959183674,0.005555555555555556,0.0
0,EEGNet,risk_coverage,,,,,0.7346938775510203,0.002777777777777778,0.0
0,EEGNet,risk_coverage,,,,,0.7448979591836735,0.0006944444444444445,0.0
0,EEGNet,risk_coverage,,,,,0.7551020408163265,0.0006944444444444445,0.0
0,EEGNet,risk_coverage,,,,,0.7653061224489796,0.0006944444444444445,0.0
0,EEGNet,risk_coverage,,,,,0.7755102040816326,0.0006944444444444445,0.0
0,EEGNet,risk_coverage,,,,,0.7857142857142857,0.0006944444444444445,0.0
0,ShallowConvNet,calibration,0.55,0.5359477124183006,0.5475817918777466,0.10625,,,
0,ShallowConvNet,calibration,0.6500000000000001,0.4909090909090909,0.6505045890808105,0.11458333333333333,,,
0,ShallowConvNet,calibration,0.75,0.6052631578947368,0.7523577213287354,0.13194444444444445,,,
0,ShallowConvNet,calibration,0.8500000000000001,0.6715867158671587,0.8535425662994385,0.18819444444444444,,,
0,ShallowConvNet,calibration,0.95,0.8714069591527988,0.9672056436538696,0.45902777777777776,,,
0,ShallowConvNet,risk_coverage,,,,,0.5,1.0,0.28055555555555556
0,ShallowConvNet,risk_coverage,,,,,0.5102040816326531,0.9902777777777778,0.27980364656381485
0,ShallowConvNet,risk_coverage,,,,,0.5204081632653061,0.9763888888888889,0.27453769559032715
0,ShallowConvNet,risk_coverage,,,,,0.5306122448979592,0.9625,0.27128427128427124
0,ShallowConvNet,risk_coverage,,,,,0.5408163265306123,0.9486111111111111,0.2679355783308931
0,ShallowConvNet,risk_coverage,,,,,0.5510204081632653,0.9416666666666667,0.26474926253687314
0,ShallowConvNet,risk_coverage,,,,,0.5612244897959183,0.9277777777777778,0.26272455089820357
0,ShallowConvNet,risk_coverage,,,,,0.5714285714285714,0.9194444444444444,0.26132930513595165
0,ShallowConvNet,risk_coverage,,,,,0.5816326530612245,0.9131944444444444,0.2608365019011407
0,ShallowConvNet,risk_coverage,,,,,0.5918367346938775,0.90625,0.2613026819923372
0,ShallowConvNet,risk_coverage,,,,,0.6020408163265306,0.8902777777777777,0.25819032761310456
0,ShallowConvNet,risk_coverage,,,,,0.6122448979591837,0.88125,0.25610717100078806
0,ShallowConvNet,risk_coverage,,,,,0.6224489795918368,0.8708333333333333,0.25279106858054223
0,ShallowConvNet,risk_coverage,,,,,0.6326530612244898,0.8576388888888888,0.2477732793522267
0,ShallowConvNet,risk_coverage,,,,,0.6428571428571428,0.84375,0.24279835390946503
0,ShallowConvNet,risk_coverage,,,,,0.6530612244897959,0.8319444444444445,0.23956594323873126
0,ShallowConvNet,risk_coverage,,,,,0.6632653061224489,0.8201388888888889,0.23708721422523282
0,ShallowConvNet,risk_coverage,,,,,0.673469387755102,0.8118055555555556,0.23353293413173648
0,ShallowConvNet,risk_coverage,,,,,0.6836734693877551,0.7986111111111112,0.2269565217391304
0,ShallowConvNet,risk_coverage,,,,,0.6938775510204082,0.7888888888888889,0.221830985915493
0,ShallowConvNet,risk_coverage,,,,,0.7040816326530612,0.7743055555555556,0.2206278026905829
0,ShallowConvNet,risk_coverage,,,,,0.7142857142857143,0.7597222222222222,0.21846435100548445
0,ShallowConvNet,risk_coverage,,,,,0.7244897959183674,0.7486111111111111,0.2142857142857143
0,ShallowConvNet,risk_coverage,,,,,0.7346938775510203,0.7409722222222223,0.21180880974695404
0,ShallowConvNet,risk_coverage,,,,,0.7448979591836735,0.7243055555555555,0.20997123681687435
0,ShallowConvNet,risk_coverage,,,,,0.7551020408163265,0.7097222222222223,0.20743639921722112
0,ShallowConvNet,risk_coverage,,,,,0.7653061224489796,0.6958333333333333,0.20059880239520955
0,ShallowConvNet,risk_coverage,,,,,0.7755102040816326,0.6826388888888889,0.19430315361139372
0,ShallowConvNet,risk_coverage,,,,,0.7857142857142857,0.6715277777777777,0.1913133402275078
0,ShallowConvNet,risk_coverage,,,,,0.7959183673469388,0.6541666666666667,0.19002123142250527
0,ShallowConvNet,risk_coverage,,,,,0.8061224489795917,0.6388888888888888,0.18586956521739129
0,ShallowConvNet,risk_coverage,,,,,0.8163265306122449,0.6173611111111111,0.17772778402699663
0,ShallowConvNet,risk_coverage,,,,,0.8265306122448979,0.6006944444444444,0.16878612716763008
0,ShallowConvNet,risk_coverage,,,,,0.8367346938775511,0.5881944444444445,0.1652892561983471
0,ShallowConvNet,risk_coverage,,,,,0.846938775510204,0.5777777777777777,0.16225961538461542
0,ShallowConvNet,risk_coverage,,,,,0.8571428571428571,0.55,0.16161616161616166
0,ShallowConvNet,risk_coverage,,,,,0.8673469387755102,0.5305555555555556,0.15575916230366493
0,ShallowConvNet,risk_coverage,,,,,0.8775510204081632,0.5083333333333333,0.1489071038251366
0,ShallowConvNet,risk_coverage,,,,,0.8877551020408163,0.4875,0.14102564102564108
0,ShallowConvNet,risk_coverage,,,,,0.8979591836734693,0.46319444444444446,0.13193403298350825
0,ShallowConvNet,risk_coverage,,,,,0.9081632653061225,0.4423611111111111,0.1255886970172685
0,ShallowConvNet,risk_coverage,,,,,0.9183673469387754,0.4166666666666667,0.1216666666666667
0,ShallowConvNet,risk_coverage,,,,,0.9285714285714286,0.38472222222222224,0.1155234657039711
0,ShallowConvNet,risk_coverage,,,,,0.9387755102040816,0.3645833333333333,0.10666666666666669
0,ShallowConvNet,risk_coverage,,,,,0.9489795918367346,0.3402777777777778,0.09795918367346934
0,ShallowConvNet,risk_coverage,,,,,0.9591836734693877,0.30069444444444443,0.07390300230946878
0,ShallowConvNet,risk_coverage,,,,,0.9693877551020408,0.2590277777777778,0.06702412868632712
0,ShallowConvNet,risk_coverage,,,,,0.9795918367346939,0.20347222222222222,0.04436860068259385
0,ShallowConvNet,risk_coverage,,,,,0.9897959183673469,0.14722222222222223,0.028301886792452824
