seed,model,type,bin_centre,accuracy,confidence,fraction,threshold,coverage,error_rate
2,EEGNet,calibration,0.55,0.5445935280189423,0.5397579669952393,0.8798611111111111,,,
2,EEGNet,calibration,0.6500000000000001,0.5549132947976878,0.6292720437049866,0.12013888888888889,,,
2,EEGNet,risk_coverage,,,,,0.5,1.0,0.4541666666666667
2,EEGNet,risk_coverage,,,,,0.5102040816326531,0.8715277777777778,0.4454183266932271
2,EEGNet,risk_coverage,,,,,0.5204081632653061,0.7305555555555555,0.4439163498098859
2,EEGNet,risk_coverage,,,,,0.5306122448979592,0.6208333333333333,0.43288590604026844
2,EEGNet,risk_coverage,,,,,0.5408163265306123,0.5111111111111111,0.43342391304347827
2,EEGNet,risk_coverage,,,,,0.5510204081632653,0.4131944444444444,0.4336134453781513
2,EEGNet,risk_coverage,,,,,0.5612244897959183,0.3284722222222222,0.4312896405919662
2,EEGNet,risk_coverage,,,,,0.5714285714285714,0.25555555555555554,0.42934782608695654
2,EEGNet,risk_coverage,,,,,0.5816326530612245,0.19930555555555557,0.4494773519163763
2,EEGNet,risk_coverage,,,,,0.5918367346938775,0.15347222222222223,0.41628959276018096
2,EEGNet,risk_coverage,,,,,0.6020408163265306,0.11458333333333333,0.4484848484848485
2,EEGNet,risk_coverage,,,,,0.6122448979591837,0.08125,0.4871794871794872
2,EEGNet,risk_coverage,,,,,0.6224489795918368,0.06111111111111111,0.5
2,EEGNet,risk_coverage,,,,,0.6326530612244898,0.049305555555555554,0.5352112676056338
2,EEGNet,risk_coverage,,,,,0.6428571428571428,0.03680555555555556,0.5849056603773585
2,EEGNet,risk_coverage,,,,,0.6530612244897959,0.022916666666666665,0.6060606060606061
2,EEGNet,risk_coverage,,,,,0.6632653061224489,0.011805555555555555,0.5882352941176471
2,EEGNet,risk_coverage,,,,,0.673469387755102,0.006944444444444444,0.6
2,EEGNet,risk_coverage,,,,,0.6836734693877551,0.003472222222222222,0.6
2,EEGNet,risk_coverage,,,,,0.6938775510204082,0.0006944444444444445,1.0
2,ShallowConvNet,calibration,0.55,0.5064102564102564,0.5510274171829224,0.10833333333333334,,,
2,ShallowConvNet,calibration,0.6500000000000001,0.546583850931677,0.6486750245094299,0.11180555555555556,,,
2,ShallowConvNet,calibration,0.75,0.6255924170616114,0.7522568702697754,0.14652777777777778,,,
2,ShallowConvNet,calibration,0.8500000000000001,0.6642066420664207,0.852983295917511,0.18819444444444444,,,
2,ShallowConvNet,calibration,0.95,0.8564742589703588,0.966606080532074,0.44513888888888886,,,
2,ShallowConvNet,risk_coverage,,,,,0.5,1.0,0.2861111111111111
2,ShallowConvNet,risk_coverage,,,,,0.5102040816326531,0.9888888888888889,0.285814606741573
2,ShallowConvNet,risk_coverage,,,,,0.5204081632653061,0.9770833333333333,0.2828713574982231
2,ShallowConvNet,risk_coverage,,,,,0.5306122448979592,0.9680555555555556,0.2797704447632712
2,ShallowConvNet,risk_coverage,,,,,0.5408163265306123,0.9590277777777778,0.277335264301231
2,ShallowConvNet,risk_coverage,,,,,0.5510204081632653,0.9479166666666666,0.2732600732600733
2,ShallowConvNet,risk_coverage,,,,,0.5612244897959183,0.9368055555555556,0.2713120830244625
