seed,model,source,target,target_subject,accuracy,f1
2,EEGNet,BCI-IV-2b,BCI-IV-2a,1,0.6666666666666666,0.5826086956521739
2,EEGNet,BCI-IV-2b,BCI-IV-2a,2,0.53125,0.46215139442231074
2,EEGNet,BCI-IV-2b,BCI-IV-2a,3,0.6701388888888888,0.5128205128205128
2,EEGNet,BCI-IV-2b,BCI-IV-2a,4,0.59375,0.664756446991404
2,EEGNet,BCI-IV-2b,BCI-IV-2a,5,0.5347222222222222,0.33
2,EEGNet,BCI-IV-2b,BCI-IV-2a,6,0.6111111111111112,0.6028368794326241
2,EEGNet,BCI-IV-2b,BCI-IV-2a,7,0.5625,0.5401459854014599
2,EEGNet,BCI-IV-2b,BCI-IV-2a,8,0.5763888888888888,0.3146067415730337
2,EEGNet,BCI-IV-2b,BCI-IV-2a,9,0.5,0.25
2,ShallowConvNet,BCI-IV-2b,BCI-IV-2a,1,0.5868055555555556,0.6972010178117048
2,ShallowConvNet,BCI-IV-2b,BCI-IV-2a,2,0.4930555555555556,0.6572769953051644
2,ShallowConvNet,BCI-IV-2b,BCI-IV-2a,3,0.6944444444444444,0.75
2,ShallowConvNet,BCI-IV-2b,BCI-IV-2a,4,0.5069444444444444,0.6697674418604651
2,ShallowConvNet,BCI-IV-2b,BCI-IV-2a,5,0.5381944444444444,0.6509186351706037
2,ShallowConvNet,BCI-IV-2b,BCI-IV-2a,6,0.5069444444444444,0.6697674418604651
2,ShallowConvNet,BCI-IV-2b,BCI-IV-2a,7,0.5138888888888888,0.6682464454976303
2,ShallowConvNet,BCI-IV-2b,BCI-IV-2a,8,0.5069444444444444,0.6682242990654206
2,ShallowConvNet,BCI-IV-2b,BCI-IV-2a,9,0.5173611111111112,0.6744730679156908
