seed,model,split,subject,accuracy,f1
2,EEGNet,within,1,0.46875,0.41379310344827586
2,EEGNet,within,2,0.50625,0.024691358024691357
2,EEGNet,within,3,0.55,0.5764705882352941
2,EEGNet,within,4,0.63125,0.6810810810810811
2,EEGNet,within,5,0.50625,0.5031446540880503
2,EEGNet,within,6,0.525,0.4647887323943662
2,EEGNet,within,7,0.56875,0.34285714285714286
2,EEGNet,within,8,0.64375,0.44660194174757284
2,EEGNet,within,9,0.5125,0.6694915254237288
2,EEGNet,cross,1,0.79375,0.7785234899328859
2,EEGNet,cross,2,0.625,0.5161290322580645
2,EEGNet,cross,3,0.4875,0.59
2,EEGNet,cross,4,0.94375,0.9403973509933775
2,EEGNet,cross,5,0.83125,0.8540540540540541
2,EEGNet,cross,6,0.75,0.6923076923076923
2,EEGNet,cross,7,0.85,0.8571428571428571
2,EEGNet,cross,8,0.80625,0.8359788359788359
2,EEGNet,cross,9,0.85625,0.8700564971751412
2,ShallowConvNet,within,1,0.725,0.7380952380952381
2,ShallowConvNet,within,2,0.5,0.5180722891566265
2,ShallowConvNet,within,3,0.51875,0.6206896551724138
2,ShallowConvNet,within,4,0.9375,0.9404761904761905
2,ShallowConvNet,within,5,0.81875,0.8242424242424242
2,ShallowConvNet,within,6,0.625,0.719626168224299
2,ShallowConvNet,within,7,0.69375,0.6016260162601627
2,ShallowConvNet,within,8,0.8125,0.810126582278481
2,ShallowConvNet,within,9,0.79375,0.8
2,ShallowConvNet,cross,1,0.675,0.7263157894736842
2,ShallowConvNet,cross,2,0.5,0.5
2,ShallowConvNet,cross,3,0.50625,0.5863874345549738
2,ShallowConvNet,cross,4,0.96875,0.9685534591194969
2,ShallowConvNet,cross,5,0.7125,0.7766990291262136
2,ShallowConvNet,cross,6,0.63125,0.48695652173913045
2,ShallowConvNet,cross,7,0.775,0.8064516129032258
2,ShallowConvNet,cross,8,0.81875,0.8465608465608465
2,ShallowConvNet,cross,9,0.81875,0.8397790055248618
