seed,model,accuracy,brier_score,brier_chance_level,brier_interpretation,ece,ece_interpretation
2,EEGNet,0.5458333333333333,0.4971645550120287,0.5,better than chance,0.013187999568051733,well calibrated
2,ShallowConvNet,0.7138888888888889,0.4003778282958256,0.5,better than chance,0.11935842115845946,moderately overconfident
