seed,model,accuracy,brier_score,brier_chance_level,brier_interpretation,ece,ece_interpretation
42,EEGNet,0.5805555555555556,0.4782186589190844,0.5,better than chance,0.024988787207338506,well calibrated
42,ShallowConvNet,0.7298611111111111,0.38005059445563616,0.5,better than chance,0.10394338493545852,moderately overconfident
