seed,model,split,subject,accuracy,f1
42,EEGNet,within,1,0.5,0.06976744186046512
42,EEGNet,within,2,0.46875,0.5405405405405406
42,EEGNet,within,3,0.55625,0.49645390070921985
42,EEGNet,within,4,0.875,0.8571428571428571
42,EEGNet,within,5,0.525,0.4153846153846154
42,EEGNet,within,6,0.525,0.11627906976744186
42,EEGNet,within,7,0.49375,0.31932773109243695
42,EEGNet,within,8,0.71875,0.6086956521739131
42,EEGNet,within,9,0.5625,0.4444444444444444
42,EEGNet,cross,1,0.75625,0.7745664739884393
42,EEGNet,cross,2,0.58125,0.40707964601769914
42,EEGNet,cross,3,0.525,0.5777777777777777
42,EEGNet,cross,4,0.9375,0.9333333333333333
42,EEGNet,cross,5,0.8125,0.8369565217391305
42,EEGNet,cross,6,0.68125,0.5486725663716814
42,EEGNet,cross,7,0.8625,0.8428571428571429
42,EEGNet,cross,8,0.80625,0.8359788359788359
42,EEGNet,cross,9,0.7625,0.8041237113402062
42,ShallowConvNet,within,1,0.71875,0.7398843930635838
42,ShallowConvNet,within,2,0.5125,0.4868421052631579
42,ShallowConvNet,within,3,0.5,0.5959595959595959
42,ShallowConvNet,within,4,0.99375,0.9937888198757764
42,ShallowConvNet,within,5,0.875,0.8809523809523809
42,ShallowConvNet,within,6,0.6625,0.7244897959183674
42,ShallowConvNet,within,7,0.6875,0.6153846153846154
42,ShallowConvNet,within,8,0.8375,0.8354430379746836
42,ShallowConvNet,within,9,0.78125,0.8148148148148148
42,ShallowConvNet,cross,1,0.6625,0.7157894736842105
42,ShallowConvNet,cross,2,0.55,0.5609756097560976
42,ShallowConvNet,cross,3,0.4875,0.1276595744680851
42,ShallowConvNet,cross,4,0.96875,0.967741935483871
42,ShallowConvNet,cross,5,0.75,0.7938144329896907
42,ShallowConvNet,cross,6,0.59375,0.3434343434343434
42,ShallowConvNet,cross,7,0.7625,0.7710843373493976
42,ShallowConvNet,cross,8,0.80625,0.8359788359788359
42,ShallowConvNet,cross,9,0.825,0.8108108108108109
