seed,model,source,target,target_subject,accuracy,f1
42,EEGNet,BCI-IV-2b,BCI-IV-2a,1,0.6631944444444444,0.616600790513834
42,EEGNet,BCI-IV-2b,BCI-IV-2a,2,0.5277777777777778,0.5107913669064749
42,EEGNet,BCI-IV-2b,BCI-IV-2a,3,0.6979166666666666,0.583732057416268
42,EEGNet,BCI-IV-2b,BCI-IV-2a,4,0.5347222222222222,0.6455026455026455
42,EEGNet,BCI-IV-2b,BCI-IV-2a,5,0.5173611111111112,0.3474178403755869
42,EEGNet,BCI-IV-2b,BCI-IV-2a,6,0.5763888888888888,0.6629834254143646
42,EEGNet,BCI-IV-2b,BCI-IV-2a,7,0.5659722222222222,0.6418338108882522
42,EEGNet,BCI-IV-2b,BCI-IV-2a,8,0.6111111111111112,0.5254237288135594
42,EEGNet,BCI-IV-2b,BCI-IV-2a,9,0.5034722222222222,0.3700440528634361
42,ShallowConvNet,BCI-IV-2b,BCI-IV-2a,1,0.59375,0.706766917293233
42,ShallowConvNet,BCI-IV-2b,BCI-IV-2a,2,0.5034722222222222,0.6666666666666666
42,ShallowConvNet,BCI-IV-2b,BCI-IV-2a,3,0.6458333333333334,0.7287234042553191
42,ShallowConvNet,BCI-IV-2b,BCI-IV-2a,4,0.5138888888888888,0.6728971962616822
42,ShallowConvNet,BCI-IV-2b,BCI-IV-2a,5,0.5347222222222222,0.6598984771573604
42,ShallowConvNet,BCI-IV-2b,BCI-IV-2a,6,0.5034722222222222,0.6682134570765661
42,ShallowConvNet,BCI-IV-2b,BCI-IV-2a,7,0.5347222222222222,0.6778846153846154
42,ShallowConvNet,BCI-IV-2b,BCI-IV-2a,8,0.5069444444444444,0.6697674418604651
42,ShallowConvNet,BCI-IV-2b,BCI-IV-2a,9,0.5173611111111112,0.6744730679156908
