seed,model,type,bin_centre,accuracy,confidence,fraction,threshold,coverage,error_rate
42,EEGNet,calibration,0.55,0.5586034912718204,0.5390571355819702,0.8354166666666667,,,
42,EEGNet,calibration,0.6500000000000001,0.6816143497757847,0.6342653036117554,0.15486111111111112,,,
42,EEGNet,calibration,0.75,0.8571428571428571,0.7206606864929199,0.009722222222222222,,,
42,EEGNet,risk_coverage,,,,,0.5,1.0,0.4194444444444444
42,EEGNet,risk_coverage,,,,,0.5102040816326531,0.8534722222222222,0.40358014646053697
42,EEGNet,risk_coverage,,,,,0.5204081632653061,0.7256944444444444,0.3827751196172249
42,EEGNet,risk_coverage,,,,,0.5306122448979592,0.6256944444444444,0.37402885682574916
42,EEGNet,risk_coverage,,,,,0.5408163265306123,0.5118055555555555,0.3595658073270014
42,EEGNet,risk_coverage,,,,,0.5510204081632653,0.4375,0.35238095238095235
42,EEGNet,risk_coverage,,,,,0.5612244897959183,0.36319444444444443,0.3403441682600382
42,EEGNet,risk_coverage,,,,,0.5714285714285714,0.30486111111111114,0.3325740318906606
42,EEGNet,risk_coverage,,,,,0.5816326530612245,0.2513888888888889,0.3066298342541437
42,EEGNet,risk_coverage,,,,,0.5918367346938775,0.19375,0.30107526881720426
42,EEGNet,risk_coverage,,,,,0.6020408163265306,0.15833333333333333,0.3070175438596491
42,EEGNet,risk_coverage,,,,,0.6122448979591837,0.125,0.28888888888888886
42,EEGNet,risk_coverage,,,,,0.6224489795918368,0.09930555555555555,0.28671328671328666
42,EEGNet,risk_coverage,,,,,0.6326530612244898,0.07569444444444444,0.27522935779816515
42,EEGNet,risk_coverage,,,,,0.6428571428571428,0.059027777777777776,0.15294117647058825
42,EEGNet,risk_coverage,,,,,0.6530612244897959,0.049305555555555554,0.14084507042253525
42,EEGNet,risk_coverage,,,,,0.6632653061224489,0.03819444444444445,0.1454545454545455
42,EEGNet,risk_coverage,,,,,0.673469387755102,0.027083333333333334,0.15384615384615385
42,EEGNet,risk_coverage,,,,,0.6836734693877551,0.019444444444444445,0.1428571428571429
42,EEGNet,risk_coverage,,,,,0.6938775510204082,0.013194444444444444,0.10526315789473684
42,EEGNet,risk_coverage,,,,,0.7040816326530612,0.007638888888888889,0.18181818181818177
42,EEGNet,risk_coverage,,,,,0.7142857142857143,0.004861111111111111,0.1428571428571429
42,EEGNet,risk_coverage,,,,,0.7244897959183674,0.002777777777777778,0.25
42,EEGNet,risk_coverage,,,,,0.7346938775510203,0.001388888888888889,0.5
42,EEGNet,risk_coverage,,,,,0.7448979591836735,0.001388888888888889,0.5
42,EEGNet,risk_coverage,,,,,0.7551020408163265,0.001388888888888889,0.5
42,EEGNet,risk_coverage,,,,,0.7653061224489796,0.001388888888888889,0.5
42,ShallowConvNet,calibration,0.55,0.525974025974026,0.5491694808006287,0.10694444444444444,,,
42,ShallowConvNet,calibration,0.6500000000000001,0.5903614457831325,0.6524538993835449,0.11527777777777778,,,
42,ShallowConvNet,calibration,0.75,0.6161616161616161,0.7490192651748657,0.1375,,,
42,ShallowConvNet,calibration,0.8500000000000001,0.6743295019157088,0.8481073379516602,0.18125,,,
42,ShallowConvNet,calibration,0.95,0.8681818181818182,0.9653593897819519,0.4583333333333333,,,
42,ShallowConvNet,risk_coverage,,,,,0.5,1.0,0.27013888888888893
42,ShallowConvNet,risk_coverage,,,,,0.5102040816326531,0.9902777777777778,0.2699859747545582
42,ShallowConvNet,risk_coverage,,,,,0.5204081632653061,0.9756944444444444,0.26690391459074736
42,ShallowConvNet,risk_coverage,,,,,0.5306122448979592,0.9631944444444445,0.26315789473684215
42,ShallowConvNet,risk_coverage,,,,,0.5408163265306123,0.9506944444444444,0.26077428780131484
42,ShallowConvNet,risk_coverage,,,,,0.5510204081632653,0.94375,0.25901398086828553
42,ShallowConvNet,risk_coverage,,,,,0.5612244897959183,0.9381944444444444,0.2546262028127313
42,ShallowConvNet,risk_coverage,,,,,0.5714285714285714,0.9243055555555556,0.25244177310293014
42,ShallowConvNet,risk_coverage,,,,,0.5816326530612245,0.9125,0.24809741248097417
42,ShallowConvNet,risk_coverage,,,,,0.5918367346938775,0.9006944444444445,0.24749421742482647
42,ShallowConvNet,risk_coverage,,,,,0.6020408163265306,0.8916666666666667,0.24454828660436134
42,ShallowConvNet,risk_coverage,,,,,0.6122448979591837,0.8833333333333333,0.24449685534591192
42,ShallowConvNet,risk_coverage,,,,,0.6224489795918368,0.8708333333333333,0.24242424242424243
42,ShallowConvNet,risk_coverage,,,,,0.6326530612244898,0.8590277777777777,0.2409054163298302
42,ShallowConvNet,risk_coverage,,,,,0.6428571428571428,0.8506944444444444,0.23673469387755097
42,ShallowConvNet,risk_coverage,,,,,0.6530612244897959,0.8361111111111111,0.23338870431893688
42,ShallowConvNet,risk_coverage,,,,,0.6632653061224489,0.8194444444444444,0.2313559322033898
42,ShallowConvNet,risk_coverage,,,,,0.673469387755102,0.8076388888888889,0.2304385210662081
42,ShallowConvNet,risk_coverage,,,,,0.6836734693877551,0.7986111111111112,0.22782608695652173
42,ShallowConvNet,risk_coverage,,,,,0.6938775510204082,0.7861111111111111,0.22438162544169615
42,ShallowConvNet,risk_coverage,,,,,0.7040816326530612,0.7729166666666667,0.21743036837376462
42,ShallowConvNet,risk_coverage,,,,,0.7142857142857143,0.7576388888888889,0.2117323556370303
42,ShallowConvNet,risk_coverage,,,,,0.7244897959183674,0.7402777777777778,0.2045028142589118
42,ShallowConvNet,risk_coverage,,,,,0.7346938775510203,0.7236111111111111,0.2024952015355086
42,ShallowConvNet,risk_coverage,,,,,0.7448979591836735,0.7131944444444445,0.2005842259006816
42,ShallowConvNet,risk_coverage,,,,,0.7551020408163265,0.6993055555555555,0.19860973187686193
42,ShallowConvNet,risk_coverage,,,,,0.7653061224489796,0.6888888888888889,0.19556451612903225
42,ShallowConvNet,risk_coverage,,,,,0.7755102040816326,0.6743055555555556,0.19258496395468594
42,ShallowConvNet,risk_coverage,,,,,0.7857142857142857,0.6618055555555555,0.1888772298006296
42,ShallowConvNet,risk_coverage,,,,,0.7959183673469388,0.6479166666666667,0.18971061093247588
42,ShallowConvNet,risk_coverage,,,,,0.8061224489795917,0.6291666666666667,0.1832229580573952
42,ShallowConvNet,risk_coverage,,,,,0.8163265306122449,0.6027777777777777,0.1751152073732719
42,ShallowConvNet,risk_coverage,,,,,0.8265306122448979,0.5875,0.1713947990543735
42,ShallowConvNet,risk_coverage,,,,,0.8367346938775511,0.5722222222222222,0.16626213592233008
42,ShallowConvNet,risk_coverage,,,,,0.846938775510204,0.5506944444444445,0.16015132408575028
42,ShallowConvNet,risk_coverage,,,,,0.8571428571428571,0.5305555555555556,0.15445026178010468
42,ShallowConvNet,risk_coverage,,,,,0.8673469387755102,0.5138888888888888,0.15000000000000002
42,ShallowConvNet,risk_coverage,,,,,0.8775510204081632,0.5006944444444444,0.1456310679611651
42,ShallowConvNet,risk_coverage,,,,,0.8877551020408163,0.47847222222222224,0.13352685050798263
42,ShallowConvNet,risk_coverage,,,,,0.8979591836734693,0.4625,0.13213213213213215
42,ShallowConvNet,risk_coverage,,,,,0.9081632653061225,0.44583333333333336,0.13239875389408096
42,ShallowConvNet,risk_coverage,,,,,0.9183673469387754,0.4166666666666667,0.1233333333333333
42,ShallowConvNet,risk_coverage,,,,,0.9285714285714286,0.38125,0.11111111111111116
42,ShallowConvNet,risk_coverage,,,,,0.9387755102040816,0.34791666666666665,0.09980039920159678
42,ShallowConvNet,risk_coverage,,,,,0.9489795918367346,0.3159722222222222,0.09230769230769231
42,ShallowConvNet,risk_coverage,,,,,0.9591836734693877,0.28194444444444444,0.08128078817733986
42,ShallowConvNet,risk_coverage,,,,,0.9693877551020408,0.24305555555555555,0.07714285714285718
42,ShallowConvNet,risk_coverage,,,,,0.9795918367346939,0.19652777777777777,0.04593639575971731
42,ShallowConvNet,risk_coverage,,,,,0.9897959183673469,0.1388888888888889,0.010000000000000009
42,ShallowConvNet,risk_coverage,,,,,1.0,0.0006944444444444445,0.0
