seed,model,source,target,target_subject,accuracy,f1
3,EEGNet,BCI-IV-2b,BCI-IV-2a,1,0.625,0.5423728813559322
3,EEGNet,BCI-IV-2b,BCI-IV-2a,2,0.5381944444444444,0.50187265917603
3,EEGNet,BCI-IV-2b,BCI-IV-2a,3,0.7083333333333334,0.5961538461538461
3,EEGNet,BCI-IV-2b,BCI-IV-2a,4,0.5763888888888888,0.6611111111111111
3,EEGNet,BCI-IV-2b,BCI-IV-2a,5,0.5416666666666666,0.3333333333333333
3,EEGNet,BCI-IV-2b,BCI-IV-2a,6,0.5347222222222222,0.6683168316831684
3,EEGNet,BCI-IV-2b,BCI-IV-2a,7,0.5486111111111112,0.5886075949367089
3,EEGNet,BCI-IV-2b,BCI-IV-2a,8,0.6666666666666666,0.6546762589928058
3,EEGNet,BCI-IV-2b,BCI-IV-2a,9,0.6284722222222222,0.676737160120846
3,ShallowConvNet,BCI-IV-2b,BCI-IV-2a,1,0.6319444444444444,0.6728395061728395
3,ShallowConvNet,BCI-IV-2b,BCI-IV-2a,2,0.5138888888888888,0.6517412935323383
3,ShallowConvNet,BCI-IV-2b,BCI-IV-2a,3,0.7916666666666666,0.803921568627451
3,ShallowConvNet,BCI-IV-2b,BCI-IV-2a,4,0.5555555555555556,0.6831683168316832
3,ShallowConvNet,BCI-IV-2b,BCI-IV-2a,5,0.4965277777777778,0.5214521452145214
3,ShallowConvNet,BCI-IV-2b,BCI-IV-2a,6,0.5208333333333334,0.6698564593301436
3,ShallowConvNet,BCI-IV-2b,BCI-IV-2a,7,0.5520833333333334,0.6614173228346457
3,ShallowConvNet,BCI-IV-2b,BCI-IV-2a,8,0.5277777777777778,0.66
3,ShallowConvNet,BCI-IV-2b,BCI-IV-2a,9,0.5416666666666666,0.6811594202898551
