model,seed,subject,split,TP,TN,FP,FN,accuracy,macro_f1,sensitivity,specificity
ShallowConvNet,2,7,within,37,74,6,43,0.6937,0.6016,0.4625,0.925
ShallowConvNet,2,8,within,64,66,14,16,0.8125,0.8101,0.8,0.825
ShallowConvNet,2,9,within,66,61,19,14,0.7937,0.8,0.825,0.7625
ShallowConvNet,3,1,within,52,62,18,28,0.7125,0.6933,0.65,0.775
ShallowConvNet,3,2,within,28,51,29,52,0.4938,0.4088,0.35,0.6375
ShallowConvNet,3,3,within,47,34,46,33,0.5062,0.5434,0.5875,0.425
ShallowConvNet,3,4,within,79,72,8,1,0.9437,0.9461,0.9875,0.9
ShallowConvNet,3,5,within,62,67,13,18,0.8063,0.8,0.775,0.8375
ShallowConvNet,3,6,within,68,42,38,12,0.6875,0.7312,0.85,0.525
ShallowConvNet,3,7,within,41,70,10,39,0.6937,0.626,0.5125,0.875
ShallowConvNet,3,8,within,60,63,17,20,0.7688,0.7643,0.75,0.7875
ShallowConvNet,3,9,within,72,57,23,8,0.8063,0.8229,0.9,0.7125
