model,Within-subject,Cross-subject,Generalisation Gap
ShallowConvNet,0.7601070226070227,0.6567075517075517,0.10339947089947094
EEGNet,0.7179353054353055,0.6987109187109186,0.01922438672438673
Transformer,0.6626984126984127,0.5927825877825879,0.0699158249158249
CSP+LDA,0.6522667147667147,0.6268326118326119,0.025434102934102913
