trial,latency_ms,success
0,3.9557500276714563,True
1,1.0259170085191727,True
2,1.001249998807907,True
3,1.0218750685453415,True
4,1.003707991912961,True
5,1.0509579442441463,False
6,1.0164170525968075,True
7,1.0581251699477434,True
8,0.906334025785327,True
9,1.1437078937888145,True
10,0.9478339925408363,False
11,0.9377500973641872,True
12,0.9429578203707933,True
13,0.9205839596688747,True
14,0.8929159957915545,True
15,0.9653340093791485,True
16,1.0746249463409185,True
17,0.9870838839560747,True
18,0.9836668614298105,True
19,0.9541248437017202,True
20,0.9436248801648617,True
21,0.9962080512195826,True
22,0.9052089881151915,True
23,0.904124928638339,True
24,0.8898328524082899,True
25,0.9288331493735313,True
26,0.9033749811351299,True
27,0.8885839488357306,True
28,0.8927080780267715,True
29,0.9167499374598265,True
