comparison,metric,subject,policy_a_value,policy_b_value,difference
Policy A vs Policy C,n_unsafe,3,80.0,26.0,-54.0
Policy A vs Policy C,n_unsafe,4,1.0,0.0,-1.0
Policy A vs Policy C,n_unsafe,5,20.0,6.0,-14.0
Policy A vs Policy C,n_unsafe,6,54.0,28.0,-26.0
Policy A vs Policy C,n_unsafe,7,50.0,20.0,-30.0
Policy A vs Policy C,n_unsafe,8,26.0,8.0,-18.0
Policy A vs Policy C,n_unsafe,9,35.0,14.0,-21.0
Policy B vs Policy C,success_rate,1,0.8837,0.8837,0.0
Policy B vs Policy C,success_rate,2,0.5692,0.5692,0.0
Policy B vs Policy C,success_rate,3,0.5094,0.5094,0.0
Policy B vs Policy C,success_rate,4,1.0,1.0,0.0
Policy B vs Policy C,success_rate,5,0.9277,0.9277,0.0
Policy B vs Policy C,success_rate,6,0.7282,0.7282,0.0
Policy B vs Policy C,success_rate,7,0.7802,0.7802,0.0
Policy B vs Policy C,success_rate,8,0.9245,0.9245,0.0
Policy B vs Policy C,success_rate,9,0.8557,0.8557,0.0
Policy B vs Policy C,error_rate,1,0.1163,0.1163,0.0
Policy B vs Policy C,error_rate,2,0.4308,0.4308,0.0
Policy B vs Policy C,error_rate,3,0.4906,0.4906,0.0
Policy B vs Policy C,error_rate,4,0.0,0.0,0.0
Policy B vs Policy C,error_rate,5,0.0723,0.0723,0.0
Policy B vs Policy C,error_rate,6,0.2718,0.2718,0.0
Policy B vs Policy C,error_rate,7,0.2198,0.2198,0.0
Policy B vs Policy C,error_rate,8,0.0755,0.0755,0.0
Policy B vs Policy C,error_rate,9,0.1443,0.1443,0.0
Policy B vs Policy C,coverage,1,0.5375,0.5375,0.0
Policy B vs Policy C,coverage,2,0.4062,0.4062,0.0
Policy B vs Policy C,coverage,3,0.3312,0.3312,0.0
Policy B vs Policy C,coverage,4,0.9437,0.9437,0.0
Policy B vs Policy C,coverage,5,0.5188,0.5188,0.0
Policy B vs Policy C,coverage,6,0.6438,0.6438,0.0
Policy B vs Policy C,coverage,7,0.5687,0.5687,0.0
Policy B vs Policy C,coverage,8,0.6625,0.6625,0.0
Policy B vs Policy C,coverage,9,0.6062,0.6062,0.0
Policy B vs Policy C,abstention_rate,1,0.4625,0.4625,0.0
Policy B vs Policy C,abstention_rate,2,0.5938,0.5938,0.0
Policy B vs Policy C,abstention_rate,3,0.6687,0.6687,0.0
Policy B vs Policy C,abstention_rate,4,0.0563,0.0563,0.0
Policy B vs Policy C,abstention_rate,5,0.4813,0.4813,0.0
Policy B vs Policy C,abstention_rate,6,0.3563,0.3563,0.0
Policy B vs Policy C,abstention_rate,7,0.4313,0.4313,0.0
Policy B vs Policy C,abstention_rate,8,0.3375,0.3375,0.0
Policy B vs Policy C,abstention_rate,9,0.3937,0.3937,0.0
Policy B vs Policy C,n_unsafe,1,10.0,10.0,0.0
Policy B vs Policy C,n_unsafe,2,28.0,28.0,0.0
Policy B vs Policy C,n_unsafe,3,26.0,26.0,0.0
Policy B vs Policy C,n_unsafe,4,0.0,0.0,0.0
Policy B vs Policy C,n_unsafe,5,6.0,6.0,0.0
Policy B vs Policy C,n_unsafe,6,28.0,28.0,0.0
Policy B vs Policy C,n_unsafe,7,20.0,20.0,0.0
Policy B vs Policy C,n_unsafe,8,8.0,8.0,0.0
Policy B vs Policy C,n_unsafe,9,14.0,14.0,0.0
