seed,model,source,target,target_subject,accuracy,f1
1,EEGNet,BCI-IV-2b,BCI-IV-2a,1,0.6840277777777778,0.6666666666666666
1,EEGNet,BCI-IV-2b,BCI-IV-2a,2,0.53125,0.5631067961165048
1,EEGNet,BCI-IV-2b,BCI-IV-2a,3,0.7534722222222222,0.6872246696035242
1,EEGNet,BCI-IV-2b,BCI-IV-2a,4,0.5659722222222222,0.6684350132625995
1,EEGNet,BCI-IV-2b,BCI-IV-2a,5,0.5277777777777778,0.38181818181818183
1,EEGNet,BCI-IV-2b,BCI-IV-2a,6,0.5381944444444444,0.671604938271605
1,EEGNet,BCI-IV-2b,BCI-IV-2a,7,0.5069444444444444,0.5965909090909091
1,EEGNet,BCI-IV-2b,BCI-IV-2a,8,0.5868055555555556,0.6426426426426426
1,EEGNet,BCI-IV-2b,BCI-IV-2a,9,0.625,0.7016574585635359
1,ShallowConvNet,BCI-IV-2b,BCI-IV-2a,1,0.6388888888888888,0.6904761904761905
1,ShallowConvNet,BCI-IV-2b,BCI-IV-2a,2,0.5173611111111112,0.6426735218508998
1,ShallowConvNet,BCI-IV-2b,BCI-IV-2a,3,0.8020833333333334,0.8041237113402062
1,ShallowConvNet,BCI-IV-2b,BCI-IV-2a,4,0.5347222222222222,0.6731707317073171
1,ShallowConvNet,BCI-IV-2b,BCI-IV-2a,5,0.5243055555555556,0.5124555160142349
1,ShallowConvNet,BCI-IV-2b,BCI-IV-2a,6,0.5,0.6619718309859155
1,ShallowConvNet,BCI-IV-2b,BCI-IV-2a,7,0.5694444444444444,0.6804123711340206
1,ShallowConvNet,BCI-IV-2b,BCI-IV-2a,8,0.5381944444444444,0.6779661016949152
1,ShallowConvNet,BCI-IV-2b,BCI-IV-2a,9,0.5173611111111112,0.6713947990543735
