seed,model,type,bin_centre,accuracy,confidence,fraction,threshold,coverage,error_rate
1,EEGNet,calibration,0.55,0.5526090675791274,0.5419992804527283,0.8118055555555556,,,
1,EEGNet,calibration,0.6500000000000001,0.8140495867768595,0.6339091062545776,0.16805555555555557,,,
1,EEGNet,calibration,0.75,1.0,0.7413071990013123,0.019444444444444445,,,
1,EEGNet,calibration,0.8500000000000001,1.0,0.8330960273742676,0.0006944444444444445,,,
1,EEGNet,risk_coverage,,,,,0.5,1.0,0.3944444444444445
1,EEGNet,risk_coverage,,,,,0.5102040816326531,0.8777777777777778,0.38053797468354433
1,EEGNet,risk_coverage,,,,,0.5204081632653061,0.7659722222222223,0.3617407071622847
1,EEGNet,risk_coverage,,,,,0.5306122448979592,0.6708333333333333,0.3509316770186336
1,EEGNet,risk_coverage,,,,,0.5408163265306123,0.5590277777777778,0.3229813664596274
1,EEGNet,risk_coverage,,,,,0.5510204081632653,0.48194444444444445,0.31556195965417866
1,EEGNet,risk_coverage,,,,,0.5612244897959183,0.3993055555555556,0.27826086956521734
1,EEGNet,risk_coverage,,,,,0.5714285714285714,0.34375,0.24848484848484853
1,EEGNet,risk_coverage,,,,,0.5816326530612245,0.29097222222222224,0.21957040572792363
1,EEGNet,risk_coverage,,,,,0.5918367346938775,0.24166666666666667,0.18678160919540232
1,EEGNet,risk_coverage,,,,,0.6020408163265306,0.18055555555555555,0.16923076923076918
1,EEGNet,risk_coverage,,,,,0.6122448979591837,0.14375,0.1497584541062802
1,EEGNet,risk_coverage,,,,,0.6224489795918368,0.1125,0.12962962962962965
1,EEGNet,risk_coverage,,,,,0.6326530612244898,0.08819444444444445,0.10236220472440949
1,EEGNet,risk_coverage,,,,,0.6428571428571428,0.07291666666666667,0.07619047619047614
1,EEGNet,risk_coverage,,,,,0.6530612244897959,0.0625,0.0444444444444444
1,EEGNet,risk_coverage,,,,,0.6632653061224489,0.050694444444444445,0.0273972602739726
1,EEGNet,risk_coverage,,,,,0.673469387755102,0.04236111111111111,0.032786885245901676
1,EEGNet,risk_coverage,,,,,0.6836734693877551,0.03333333333333333,0.02083333333333337
1,EEGNet,risk_coverage,,,,,0.6938775510204082,0.02361111111111111,0.0
1,EEGNet,risk_coverage,,,,,0.7040816326530612,0.02013888888888889,0.0
1,EEGNet,risk_coverage,,,,,0.7142857142857143,0.018055555555555554,0.0
1,EEGNet,risk_coverage,,,,,0.7244897959183674,0.013888888888888888,0.0
1,EEGNet,risk_coverage,,,,,0.7346938775510203,0.013888888888888888,0.0
1,EEGNet,risk_coverage,,,,,0.7448979591836735,0.007638888888888889,0.0
1,EEGNet,risk_coverage,,,,,0.7551020408163265,0.005555555555555556,0.0
1,EEGNet,risk_coverage,,,,,0.7653061224489796,0.004861111111111111,0.0
1,EEGNet,risk_coverage,,,,,0.7755102040816326,0.003472222222222222,0.0
1,EEGNet,risk_coverage,,,,,0.7857142857142857,0.0006944444444444445,0.0
1,EEGNet,risk_coverage,,,,,0.7959183673469388,0.0006944444444444445,0.0
1,EEGNet,risk_coverage,,,,,0.8061224489795917,0.0006944444444444445,0.0
1,EEGNet,risk_coverage,,,,,0.8163265306122449,0.0006944444444444445,0.0
1,EEGNet,risk_coverage,,,,,0.8265306122448979,0.0006944444444444445,0.0
1,ShallowConvNet,calibration,0.55,0.5235294117647059,0.5462049841880798,0.11805555555555555,,,
1,ShallowConvNet,calibration,0.6500000000000001,0.6114285714285714,0.6548110246658325,0.12152777777777778,,,
1,ShallowConvNet,calibration,0.75,0.612565445026178,0.7537496089935303,0.1326388888888889,,,
1,ShallowConvNet,calibration,0.8500000000000001,0.6512605042016807,0.8490837812423706,0.16527777777777777,,,
1,ShallowConvNet,calibration,0.95,0.8736842105263158,0.9664096236228943,0.4618055555555556,,,
1,ShallowConvNet,risk_coverage,,,,,0.5,1.0,0.27083333333333337
1,ShallowConvNet,risk_coverage,,,,,0.5102040816326531,0.9840277777777777,0.2667607621736062
1,ShallowConvNet,risk_coverage,,,,,0.5204081632653061,0.9701388888888889,0.2634216177523264
1,ShallowConvNet,risk_coverage,,,,,0.5306122448979592,0.9527777777777777,0.25874635568513116
1,ShallowConvNet,risk_coverage,,,,,0.5408163265306123,0.94375,0.2553348050036792
1,ShallowConvNet,risk_coverage,,,,,0.5510204081632653,0.9305555555555556,0.25223880597014925
1,ShallowConvNet,risk_coverage,,,,,0.5612244897959183,0.925,0.2507507507507507
1,ShallowConvNet,risk_coverage,,,,,0.5714285714285714,0.9138888888888889,0.24620060790273557
1,ShallowConvNet,risk_coverage,,,,,0.5816326530612245,0.9020833333333333,0.24403387220939188
1,ShallowConvNet,risk_coverage,,,,,0.5918367346938775,0.8923611111111112,0.243579766536965
1,ShallowConvNet,risk_coverage,,,,,0.6020408163265306,0.8770833333333333,0.24228028503562948
1,ShallowConvNet,risk_coverage,,,,,0.6122448979591837,0.8694444444444445,0.24281150159744413
1,ShallowConvNet,risk_coverage,,,,,0.6224489795918368,0.8618055555555556,0.24174053182917
1,ShallowConvNet,risk_coverage,,,,,0.6326530612244898,0.8479166666666667,0.24242424242424243
1,ShallowConvNet,risk_coverage,,,,,0.6428571428571428,0.8388888888888889,0.24172185430463577
1,ShallowConvNet,risk_coverage,,,,,0.6530612244897959,0.8256944444444444,0.23717409587888982
1,ShallowConvNet,risk_coverage,,,,,0.6632653061224489,0.8145833333333333,0.2344416027280477
1,ShallowConvNet,risk_coverage,,,,,0.673469387755102,0.7993055555555556,0.23110338835794964
1,ShallowConvNet,risk_coverage,,,,,0.6836734693877551,0.7875,0.22663139329805992
1,ShallowConvNet,risk_coverage,,,,,0.6938775510204082,0.7722222222222223,0.2230215827338129
1,ShallowConvNet,risk_coverage,,,,,0.7040816326530612,0.7555555555555555,0.21875
1,ShallowConvNet,risk_coverage,,,,,0.7142857142857143,0.7444444444444445,0.2173507462686567
1,ShallowConvNet,risk_coverage,,,,,0.7244897959183674,0.7326388888888888,0.21516587677725119
1,ShallowConvNet,risk_coverage,,,,,0.7346938775510203,0.7229166666666667,0.21325648414985587
1,ShallowConvNet,risk_coverage,,,,,0.7448979591836735,0.7076388888888889,0.21197252208047102
1,ShallowConvNet,risk_coverage,,,,,0.7551020408163265,0.6951388888888889,0.20779220779220775
1,ShallowConvNet,risk_coverage,,,,,0.7653061224489796,0.6770833333333334,0.2020512820512821
1,ShallowConvNet,risk_coverage,,,,,0.7755102040816326,0.6638888888888889,0.19560669456066948
1,ShallowConvNet,risk_coverage,,,,,0.7857142857142857,0.6541666666666667,0.19532908704883223
1,ShallowConvNet,risk_coverage,,,,,0.7959183673469388,0.6375,0.19063180827886705
1,ShallowConvNet,risk_coverage,,,,,0.8061224489795917,0.6173611111111111,0.17885264341957252
1,ShallowConvNet,risk_coverage,,,,,0.8163265306122449,0.6,0.17361111111111116
1,ShallowConvNet,risk_coverage,,,,,0.8265306122448979,0.5840277777777778,0.17003567181926282
1,ShallowConvNet,risk_coverage,,,,,0.8367346938775511,0.5638888888888889,0.16256157635467983
1,ShallowConvNet,risk_coverage,,,,,0.846938775510204,0.5479166666666667,0.155893536121673
1,ShallowConvNet,risk_coverage,,,,,0.8571428571428571,0.5284722222222222,0.15374507227332457
1,ShallowConvNet,risk_coverage,,,,,0.8673469387755102,0.5111111111111111,0.1467391304347826
1,ShallowConvNet,risk_coverage,,,,,0.8775510204081632,0.49722222222222223,0.13966480446927376
1,ShallowConvNet,risk_coverage,,,,,0.8877551020408163,0.48194444444444445,0.13832853025936598
1,ShallowConvNet,risk_coverage,,,,,0.8979591836734693,0.4652777777777778,0.12686567164179108
1,ShallowConvNet,risk_coverage,,,,,0.9081632653061225,0.4423611111111111,0.1208791208791209
1,ShallowConvNet,risk_coverage,,,,,0.9183673469387754,0.42083333333333334,0.11551155115511547
1,ShallowConvNet,risk_coverage,,,,,0.9285714285714286,0.3888888888888889,0.11428571428571432
1,ShallowConvNet,risk_coverage,,,,,0.9387755102040816,0.3611111111111111,0.09999999999999998
1,ShallowConvNet,risk_coverage,,,,,0.9489795918367346,0.32430555555555557,0.08565310492505351
1,ShallowConvNet,risk_coverage,,,,,0.9591836734693877,0.2951388888888889,0.06823529411764706
1,ShallowConvNet,risk_coverage,,,,,0.9693877551020408,0.24930555555555556,0.05292479108635095
1,ShallowConvNet,risk_coverage,,,,,0.9795918367346939,0.2013888888888889,0.03103448275862064
