seed,model,split,subject,accuracy,f1
1,EEGNet,within,1,0.525,0.09523809523809523
1,EEGNet,within,2,0.44375,0.23931623931623933
1,EEGNet,within,3,0.48125,0.08791208791208792
1,EEGNet,within,4,0.95625,0.954248366013072
1,EEGNet,within,5,0.48125,0.4503311258278146
1,EEGNet,within,6,0.6875,0.6527777777777778
1,EEGNet,within,7,0.55,0.3076923076923077
1,EEGNet,within,8,0.80625,0.7919463087248322
1,EEGNet,within,9,0.51875,0.631578947368421
1,EEGNet,cross,1,0.73125,0.7514450867052023
1,EEGNet,cross,2,0.6,0.5492957746478874
1,EEGNet,cross,3,0.50625,0.5863874345549738
1,EEGNet,cross,4,0.93125,0.9261744966442953
1,EEGNet,cross,5,0.75625,0.8
1,EEGNet,cross,6,0.84375,0.8344370860927153
1,EEGNet,cross,7,0.8375,0.8142857142857143
1,EEGNet,cross,8,0.81875,0.8449197860962567
1,EEGNet,cross,9,0.84375,0.8571428571428571
1,ShallowConvNet,within,1,0.7625,0.7654320987654321
1,ShallowConvNet,within,2,0.54375,0.5034013605442177
1,ShallowConvNet,within,3,0.5125,0.5894736842105263
1,ShallowConvNet,within,4,0.925,0.9294117647058824
1,ShallowConvNet,within,5,0.81875,0.8104575163398693
1,ShallowConvNet,within,6,0.65,0.7307692307692307
1,ShallowConvNet,within,7,0.73125,0.6814814814814815
1,ShallowConvNet,within,8,0.775,0.7906976744186046
1,ShallowConvNet,within,9,0.84375,0.8502994011976048
1,ShallowConvNet,cross,1,0.625,0.6842105263157895
1,ShallowConvNet,cross,2,0.5125,0.5357142857142857
1,ShallowConvNet,cross,3,0.49375,0.6301369863013698
1,ShallowConvNet,cross,4,0.96875,0.967741935483871
1,ShallowConvNet,cross,5,0.76875,0.8082901554404145
1,ShallowConvNet,cross,6,0.6875,0.647887323943662
1,ShallowConvNet,cross,7,0.725,0.6333333333333333
1,ShallowConvNet,cross,8,0.80625,0.837696335078534
1,ShallowConvNet,cross,9,0.775,0.7230769230769231
